symbol,sector,tier,valid_from,valid_to,evidence
PAYTM,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
PCJEWELLER,Consumer Durables,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
PEL,Financial Services,3,2016-02-11,9999-12-31,manual-register
PERSISTENT,Information Technology,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
PETRONET,Oil Gas & Consumable Fuels,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
PFC,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
PFIZER,Healthcare,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
PGEL,Consumer Durables,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
PHOENIXLTD,Realty,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
PIDILITIND,Chemicals,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
PIIND,Chemicals,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
PNB,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
PNBHOUSING,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
POLICYBZR,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
POLYCAB,Capital Goods,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
POONAWALLA,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
POWERGRID,Power,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
POWERINDIA,Capital Goods,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
PPLPHARMA,Healthcare,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
PREMIERENE,Capital Goods,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
PRESTIGE,Realty,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
PTC,Power,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
PVR,Media Entertainment & Publication,2,2010-01-04,9999-12-31,inherit:PVR via PVRINOX
PVRINOX,Media Entertainment & Publication,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
RADICO,Fast Moving Consumer Goods,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
RAIN,Chemicals,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
RAMCOCEM,Construction Materials,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
RAYMOND,Textiles,3,2016-02-11,9999-12-31,manual-register
RBLBANK,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
RCOM,Telecommunication,3,2016-02-11,9999-12-31,manual-register
RDEL,Capital Goods,3,2016-02-11,9999-12-31,manual-register
RECLTD,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
RELCAPITAL,Financial Services,3,2016-02-11,9999-12-31,manual-register
RELIANCE,Oil Gas & Consumable Fuels,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
RELINFRA,Power,3,2016-02-11,9999-12-31,manual-register
REPCOHOME,Financial Services,3,2016-02-11,9999-12-31,manual-register
RNAVAL,Services,3,2016-02-11,9999-12-31,manual-register
RPOWER,Power,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
RVNL,Construction,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
SAIL,Metals & Mining,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
SAMMAANCAP,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
SBICARD,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
SBILIFE,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
SBIN,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
SHREECEM,Construction Materials,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
SHRIRAMFIN,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
SIEMENS,Capital Goods,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
SINTEX,Textiles,3,2016-02-11,9999-12-31,manual-register
SJVN,Power,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
SKSMICRO,Financial Services,3,2016-02-11,9999-12-31,manual-register
SOLARINDS,Chemicals,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
SONACOMS,Automobile and Auto Components,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
SOUTHBANK,Financial Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
SREINFRA,Financial Services,3,2016-02-11,9999-12-31,manual-register
SRF,Chemicals,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
SRTRANSFIN,Financial Services,2,2010-01-04,9999-12-31,inherit:SHRIRAMFIN via SHRIRAMFIN
STAR,Healthcare,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
SUNPHARMA,Healthcare,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
SUNTV,Media Entertainment & Publication,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
SUPREMEIND,Capital Goods,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
SUZLON,Capital Goods,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
SWIGGY,Consumer Services,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
SYNDIBANK,Financial Services,3,2016-02-11,9999-12-31,manual-register
SYNGENE,Healthcare,1,2016-02-11,9999-12-31,ind_niftytotalmarket_list
